code,pillar,pillar_label,indicator_name,direction,raw_value,min_value,max_value,unit,normalization_basis,normalized_value_reported,year,source_group,source_table_or_figure,source_note,uncertainty_class,public_redistributable,limitations_note
P3.6,P3,Economic Resilience,Tourism Seasonality Ratio,NEG,5.2,2.0,8.5,peak/off ratio,raw_corridor_minmax,0.51,2022,Group 4,"Tables 29,35",,estimated,no,
P3.7,P3,Economic Resilience,Agricultural Productivity,POS,4.8,2.5,12.0,t/ha,raw_corridor_minmax,0.24,2023,Group 7,Table 14,,observed,no,
P3.8,P3,Economic Resilience,Poverty-Rate Proxy,NEG,0.42,0.25,0.55,index,raw_corridor_minmax,0.43,2022,Group 4,SEGE sub-indicator,Proxy variable,proxy,no,Proxy for hidden rural poverty
P4.1,P4,Infrastructure & Service Continuity,Road Connectivity Index,POS,0.18,0.12,0.45,km/km2,raw_corridor_minmax,0.18,2023,Group 5,Length tables,,observed,no,
P4.2,P4,Infrastructure & Service Continuity,Distance to Emergency Centre,NEG,187,44,200,km,raw_corridor_minmax,0.08,2023,Group 5,"Tables 7,25",Longest in corridor,observed,no,
P4.3,P4,Infrastructure & Service Continuity,Hospital-Bed Ratio,POS,0.41,0.25,2.68,beds/1000,raw_corridor_minmax,0.066,2023,Group 6,Table 9,,observed,no,
P4.4,P4,Infrastructure & Service Continuity,Physician Ratio,POS,12,8,24,physicians/10000,raw_corridor_minmax,0.25,2023,Group 6,Statistics,,observed,no,
P4.5,P4,Infrastructure & Service Continuity,School Capacity Ratio,NEG,17.6,14.0,20.0,students/classroom,raw_corridor_minmax,0.4,2024,Group 6,Table 7 (9729/554),,observed,no,
P4.6,P4,Infrastructure & Service Continuity,Water-Supply Coverage,POS,82,70,95,percent,raw_corridor_minmax,0.48,2023,Group 5,Table 49,,observed,no,
P4.7,P4,Infrastructure & Service Continuity,Sewerage / Treatment Ratio,POS,56,35,90,percent,raw_corridor_minmax,0.38,2023,Group 5,Table 61,Service pop ~61k (Merkez 36k+Kalkan 25k); septic periphery lowers district coverage to 56%,estimated,no,Service-population weighted estimate
P4.8,P4,Infrastructure & Service Continuity,Renewable-Energy Share,POS,23.4,20,42,percent,raw_corridor_minmax,0.15,2023,Group 5,Regional generation,,observed,no,
P4.9,P4,Infrastructure & Service Continuity,Broadband Coverage,POS,78,60,92,percent,raw_corridor_minmax,0.56,2023,BTK / Group 5,BTK district-penetration reports & infrastructure surveys,Back-filled (Finding D resolved); external national dataset,observed,no,Source external to CP202 group reports
P4.10,P4,Infrastructure & Service Continuity,Green Space per Capita,POS,8.5,4.0,18.0,m2/person,raw_corridor_minmax,0.32,2023,Group 6,Donatı analysis,,observed,no,
P5.1,P5,Environmental & Cultural Capital,Protected-Area Coverage,POS,35,10,40,percent,raw_corridor_minmax,0.83,2023,Group 3 / Group 7,Table 10 (SIT) + G7,Approx value,estimated,no,Approximate (~35%)
P5.2,P5,Environmental & Cultural Capital,UNESCO-Listed Heritage,POS,1,0,1,count,raw_corridor_minmax,1.0,2023,Group 7,Table 4,Kekova tentative list,observed,no,Corridor max -> ceiling
P5.3,P5,Environmental & Cultural Capital,Threatened Endemic Species (IUCN),NEG,12,3,15,count,raw_corridor_minmax,0.25,2024,Group 7,Fig 7.7 + Table 7.9,~12 derived from CR+EN+VU over Kaş-Kekova; 5 focal taxa explicitly listed,proxy,no,"Area-derived estimate, not exhaustive census"
P5.4,P5,Environmental & Cultural Capital,Cultural-Route Network Length,POS,120,0,150,km,raw_corridor_minmax,0.8,2023,Group 7,Table 10,"Lycian Way, Via Eurasia",estimated,no,Approximate (~120 km)
P5.5,P5,Environmental & Cultural Capital,Geographic-Indication Products,POS,2,0,3,count,raw_corridor_minmax,0.67,2023,Group 7,Table 14,,observed,no,Approximate (~2)
P5.6,P5,Environmental & Cultural Capital,Intangible Cultural Heritage,POS,3,1,5,count,raw_corridor_minmax,0.5,2023,Ministry of Culture & Tourism / Group 7,ICH provincial inventory & social-capital analysis,Back-filled (Finding D resolved); external national inventory,estimated,no,Source external to CP202 group reports; approximate
P5.7,P5,Environmental & Cultural Capital,Forest / Vegetation Cover,POS,55,30,65,percent,raw_corridor_minmax,0.71,2023,OGM / CORINE,Forest-management plans & CORINE Land Cover,Back-filled (Finding D resolved); external national/EU dataset,observed,no,Source external to CP202 group reports
P5.8,P5,Environmental & Cultural Capital,Annual Heritage-Site Visitors,POS,180000,5000,650000,visitors/year,raw_corridor_minmax,0.27,2023,Group 7,Table 7.6,Kaş minor sites; Patara/Xanthos excluded (separate planning zones),estimated,no,Estimated aggregate of minor sites
